asset_id,block,lab,latitude,longitude,cpu_model,cpu_generation,cpu_cores,cpu_clock_ghz,ram_gb,storage_type,storage_gb,gpu,tpm_version,secure_boot_support,purchase_year,current_os,architecture,last_updated
PC-0016,Block A,Research Lab,11.149793,79.498405,Intel Core i7-9700,9,8,3.0,16,HDD,500,Integrated,None,False,2021,Windows 11,x64,2026-06-01
PC-0017,Library,Language Lab,11.151388,79.48197,Intel Core i7-9700,9,8,3.0,16,SSD,128,AMD Radeon Vega,2.0,True,2022,Windows 11,x64,2026-06-01
PC-0018,Block D,Language Lab,11.140143,79.487649,Intel Core i7-9700,9,8,3.0,8,HDD,500,Integrated,None,False,2020,Windows 10,x64,2026-06-01
PC-0019,Block A,Programming Lab,11.155789,79.472126,AMD Ryzen 5 5600G,5,6,3.9,8,HDD,500,Integrated,None,False,2021,Windows 10,x64,2026-06-01
PC-0020,Admin,CAD Lab,11.14418,79.493539,Intel Core i5-7400,7,4,3.0,32,SSD,128,NVIDIA GTX 1050,2.0,True,2020,Linux Mint 22,x64,2026-06-01
PC-0021,Block A,Programming Lab,11.144011,79.491872,AMD Ryzen 5 5600G,5,6,3.9,8,SSD,512,AMD Radeon Vega,1.2,False,2018,Ubuntu 22.04,x64,2026-06-01
PC-0022,Block A,CAD Lab,11.135706,79.483458,AMD Ryzen 5 5600G,5,6,3.9,4,SSD,256,NVIDIA GTX 1050,None,False,2019,Windows 11,x64,2026-06-01
PC-0023,Block C,CAD Lab,11.131518,79.499978,Intel Core i5-7400,7,4,3.0,16,HDD,500,Integrated,2.0,True,2018,Windows 10,x64,2026-06-01
PC-0024,Block B,AI Lab,11.157073,79.474939,Intel Core i7-9700,9,8,3.0,16,SSD,512,Integrated,None,False,2023,Ubuntu 22.04,x64,2026-06-01
PC-0025,Block C,CAD Lab,11.149856,79.4846,Intel Core i5-8500,8,6,3.0,32,SSD,512,Integrated,2.0,True,2021,Linux Mint 22,x64,2026-06-01
PC-0026,Block B,Programming Lab,11.131504,79.484304,AMD Ryzen 3 3200G,3,4,3.6,32,HDD,500,AMD Radeon Vega,1.2,False,2019,Windows 10,x64,2026-06-01
PC-0027,Block A,Language Lab,11.150256,79.477056,Intel Core i3-6100,6,2,3.7,4,SSD,128,Integrated,2.0,True,2020,Windows 10,x64,2026-06-01
PC-0028,Library,Language Lab,11.146957,79.479491,Intel Core i3-6100,6,2,3.7,16,HDD,500,NVIDIA GTX 1050,2.0,True,2020,Linux Mint 22,x64,2026-06-01
PC-0029,Admin,Research Lab,11.150151,79.479,Intel Core i5-8500,8,6,3.0,8,SSD,128,NVIDIA GTX 1050,1.2,False,2018,Windows 11,x64,2026-06-01
PC-0030,Block A,CAD Lab,11.145177,79.473974,AMD Ryzen 3 3200G,3,4,3.6,4,HDD,500,NVIDIA GTX 1050,2.0,True,2018,Windows 11,x64,2026-06-01
PC-0031,Block B,Network Lab,11.14835,79.499617,Intel Core i5-8500,8,6,3.0,16,SSD,128,AMD Radeon Vega,2.0,True,2025,Ubuntu 24.04,x64,2026-06-01
PC-0032,Block A,Research Lab,11.137934,79.496691,AMD Ryzen 3 3200G,3,4,3.6,32,SSD,256,AMD Radeon Vega,None,False,2025,Windows 11,x64,2026-06-01
PC-0033,Block B,Network Lab,11.150625,79.495587,Intel Core i5-8500,8,6,3.0,32,SSD,128,AMD Radeon Vega,1.2,False,2024,Windows 11,x64,2026-06-01
PC-0034,Block C,Programming Lab,11.140007,79.473925,Intel Core i3-6100,6,2,3.7,8,SSD,512,NVIDIA GTX 1050,None,False,2019,Windows 10,x64,2026-06-01
PC-0035,Admin,CAD Lab,11.132257,79.496493,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,512,Integrated,None,False,2025,Windows 10,x64,2026-06-01
PC-0036,Block A,Network Lab,11.139248,79.496969,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,128,Integrated,None,False,2022,Windows 10,x64,2026-06-01
PC-0037,Block B,Research Lab,11.159215,79.492484,Intel Core i5-7400,7,4,3.0,8,HDD,500,Integrated,2.0,True,2019,Ubuntu 22.04,x64,2026-06-01
PC-0038,Block B,CAD Lab,11.154067,79.495922,Intel Core i3-6100,6,2,3.7,32,SSD,128,Integrated,1.2,False,2021,Ubuntu 22.04,x64,2026-06-01
PC-0039,Block B,Research Lab,11.135987,79.497554,Intel Core i3-6100,6,2,3.7,4,SSD,512,NVIDIA GTX 1050,1.2,False,2021,Windows 11,x64,2026-06-01
PC-0040,Block B,AI Lab,11.155931,79.499007,Intel Core i3-6100,6,2,3.7,16,SSD,128,NVIDIA GTX 1050,1.2,False,2022,Ubuntu 24.04,x64,2026-06-01
PC-0041,Admin,Language Lab,11.135357,79.498876,Intel Core i7-9700,9,8,3.0,4,SSD,256,NVIDIA GTX 1050,None,False,2017,Ubuntu 24.04,x64,2026-06-01
PC-0042,Block A,Language Lab,11.148186,79.485343,Intel Core i7-9700,9,8,3.0,32,SSD,256,NVIDIA GTX 1050,1.2,False,2020,Ubuntu 22.04,x64,2026-06-01
PC-0043,Block C,Programming Lab,11.150606,79.498208,AMD Ryzen 5 5600G,5,6,3.9,4,SSD,512,AMD Radeon Vega,2.0,True,2020,Linux Mint 22,x64,2026-06-01
PC-0044,Block C,CAD Lab,11.151593,79.47901,Intel Core i3-6100,6,2,3.7,16,SSD,256,NVIDIA GTX 1050,1.2,False,2023,Windows 10,x64,2026-06-01
PC-0045,Block C,CAD Lab,11.142613,79.498211,AMD Ryzen 5 5600G,5,6,3.9,16,SSD,256,AMD Radeon Vega,None,False,2019,Windows 11,x64,2026-06-01
PC-0046,Library,Language Lab,11.138607,79.482897,Intel Core i5-8500,8,6,3.0,16,SSD,512,AMD Radeon Vega,None,False,2022,Ubuntu 24.04,x64,2026-06-01
PC-0047,Block D,CAD Lab,11.149766,79.478514,Intel Core i7-9700,9,8,3.0,16,SSD,128,AMD Radeon Vega,1.2,False,2022,Windows 11,x64,2026-06-01
PC-0048,Block A,AI Lab,11.130733,79.477345,AMD Ryzen 5 5600G,5,6,3.9,8,SSD,256,NVIDIA GTX 1050,None,False,2018,Windows 11,x64,2026-06-01
PC-0049,Block D,CAD Lab,11.144831,79.47732,AMD Ryzen 5 5600G,5,6,3.9,32,SSD,128,AMD Radeon Vega,2.0,True,2017,Ubuntu 22.04,x64,2026-06-01
PC-0050,Block A,CAD Lab,11.131507,79.477476,Intel Core i5-7400,7,4,3.0,32,SSD,128,Integrated,2.0,True,2024,Ubuntu 22.04,x64,2026-06-01
PC-0051,Block B,CAD Lab,11.142802,79.497206,AMD Ryzen 5 5600G,5,6,3.9,16,SSD,256,NVIDIA GTX 1050,2.0,True,2019,Linux Mint 22,x64,2026-06-01
PC-0052,Admin,CAD Lab,11.152974,79.485639,Intel Core i7-9700,9,8,3.0,8,SSD,256,AMD Radeon Vega,2.0,True,2020,Ubuntu 24.04,x64,2026-06-01
PC-0053,Block C,CAD Lab,11.139591,79.486205,Intel Core i3-6100,6,2,3.7,8,SSD,256,Integrated,1.2,False,2019,Ubuntu 24.04,x64,2026-06-01
PC-0054,Block B,CAD Lab,11.142446,79.479926,AMD Ryzen 5 5600G,5,6,3.9,32,SSD,128,NVIDIA GTX 1050,None,False,2023,Windows 10,x64,2026-06-01
PC-0055,Block A,AI Lab,11.155702,79.492968,Intel Core i7-9700,9,8,3.0,16,SSD,512,NVIDIA GTX 1050,2.0,True,2024,Windows 10,x64,2026-06-01
PC-0056,Block A,Network Lab,11.153996,79.496934,Intel Core i5-8500,8,6,3.0,16,SSD,512,NVIDIA GTX 1050,2.0,True,2020,Linux Mint 22,x64,2026-06-01
PC-0057,Block C,CAD Lab,11.151725,79.495215,Intel Core i7-9700,9,8,3.0,16,HDD,500,Integrated,1.2,False,2025,Ubuntu 22.04,x64,2026-06-01
PC-0058,Block A,CAD Lab,11.134071,79.483851,AMD Ryzen 3 3200G,3,4,3.6,4,HDD,500,Integrated,2.0,True,2021,Ubuntu 22.04,x64,2026-06-01
PC-0059,Block D,Network Lab,11.138348,79.498536,Intel Core i5-7400,7,4,3.0,8,SSD,512,NVIDIA GTX 1050,1.2,False,2021,Ubuntu 22.04,x64,2026-06-01
PC-0060,Block A,CAD Lab,11.153437,79.489553,Intel Core i3-6100,6,2,3.7,8,HDD,500,Integrated,None,False,2020,Windows 10,x64,2026-06-01
PC-0061,Block B,Programming Lab,11.150084,79.486919,AMD Ryzen 3 3200G,3,4,3.6,8,SSD,128,Integrated,None,False,2024,Ubuntu 22.04,x64,2026-06-01
PC-0062,Admin,Network Lab,11.153334,79.474913,Intel Core i5-8500,8,6,3.0,16,SSD,128,NVIDIA GTX 1050,2.0,True,2018,Windows 10,x64,2026-06-01
PC-0063,Library,Programming Lab,11.13228,79.490718,Intel Core i5-8500,8,6,3.0,16,SSD,512,AMD Radeon Vega,2.0,True,2020,Windows 11,x64,2026-06-01
PC-0064,Block A,Research Lab,11.145982,79.489846,Intel Core i5-8500,8,6,3.0,16,HDD,500,Integrated,None,False,2025,Ubuntu 24.04,x64,2026-06-01
PC-0065,Admin,Network Lab,11.158824,79.489068,Intel Core i3-6100,6,2,3.7,16,SSD,512,NVIDIA GTX 1050,None,False,2019,Ubuntu 22.04,x64,2026-06-01
PC-0066,Block D,AI Lab,11.143946,79.494772,AMD Ryzen 5 5600G,5,6,3.9,16,SSD,256,AMD Radeon Vega,2.0,True,2021,Ubuntu 22.04,x64,2026-06-01
PC-0067,Block C,AI Lab,11.147095,79.490046,Intel Core i3-6100,6,2,3.7,16,SSD,256,NVIDIA GTX 1050,None,False,2017,Ubuntu 22.04,x64,2026-06-01
PC-0068,Block D,Network Lab,11.14021,79.49641,Intel Core i5-7400,7,4,3.0,8,SSD,512,AMD Radeon Vega,1.2,False,2021,Ubuntu 24.04,x64,2026-06-01
PC-0069,Library,Programming Lab,11.144657,79.492745,AMD Ryzen 3 3200G,3,4,3.6,4,SSD,128,AMD Radeon Vega,None,False,2024,Ubuntu 22.04,x64,2026-06-01
PC-0070,Admin,Research Lab,11.136648,79.490754,Intel Core i7-9700,9,8,3.0,4,SSD,512,NVIDIA GTX 1050,None,False,2022,Ubuntu 24.04,x64,2026-06-01
PC-0071,Block D,Language Lab,11.139924,79.491086,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,256,NVIDIA GTX 1050,2.0,True,2021,Linux Mint 22,x64,2026-06-01
PC-0072,Block C,AI Lab,11.158526,79.490705,Intel Core i3-6100,6,2,3.7,8,SSD,128,Integrated,None,False,2020,Linux Mint 22,x64,2026-06-01
PC-0073,Admin,CAD Lab,11.136824,79.475383,Intel Core i5-8500,8,6,3.0,4,SSD,256,Integrated,None,False,2025,Ubuntu 24.04,x64,2026-06-01
PC-0074,Block B,Network Lab,11.149136,79.492584,Intel Core i3-6100,6,2,3.7,16,HDD,500,Integrated,1.2,False,2017,Windows 11,x64,2026-06-01
PC-0075,Library,Network Lab,11.158965,79.477574,Intel Core i7-9700,9,8,3.0,16,SSD,512,NVIDIA GTX 1050,1.2,False,2018,Windows 11,x64,2026-06-01
PC-0076,Block A,CAD Lab,11.134552,79.494334,Intel Core i7-9700,9,8,3.0,16,HDD,500,NVIDIA GTX 1050,2.0,True,2018,Windows 10,x64,2026-06-01
PC-0077,Block B,Programming Lab,11.136771,79.485677,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,512,NVIDIA GTX 1050,2.0,True,2024,Linux Mint 22,x64,2026-06-01
PC-0078,Block C,Language Lab,11.148289,79.492203,Intel Core i7-9700,9,8,3.0,16,SSD,256,Integrated,2.0,True,2020,Windows 10,x64,2026-06-01
PC-0079,Block C,Research Lab,11.132252,79.47008,Intel Core i3-6100,6,2,3.7,8,SSD,128,NVIDIA GTX 1050,None,False,2024,Linux Mint 22,x64,2026-06-01
PC-0080,Block C,Programming Lab,11.132135,79.477003,Intel Core i5-7400,7,4,3.0,32,SSD,256,NVIDIA GTX 1050,1.2,False,2020,Ubuntu 22.04,x64,2026-06-01
PC-0081,Block D,Programming Lab,11.154799,79.472142,AMD Ryzen 3 3200G,3,4,3.6,32,SSD,128,Integrated,None,False,2021,Ubuntu 24.04,x64,2026-06-01
PC-0082,Library,Research Lab,11.15066,79.490992,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,256,NVIDIA GTX 1050,None,False,2025,Ubuntu 22.04,x64,2026-06-01
PC-0083,Library,CAD Lab,11.152036,79.488111,Intel Core i7-9700,9,8,3.0,16,HDD,500,Integrated,None,False,2018,Ubuntu 22.04,x64,2026-06-01
PC-0084,Block B,Research Lab,11.131207,79.492688,AMD Ryzen 3 3200G,3,4,3.6,32,HDD,500,NVIDIA GTX 1050,1.2,False,2025,Linux Mint 22,x64,2026-06-01
PC-0085,Admin,CAD Lab,11.159072,79.4841,Intel Core i5-8500,8,6,3.0,16,SSD,128,NVIDIA GTX 1050,1.2,False,2022,Ubuntu 22.04,x64,2026-06-01
PC-0086,Block C,Research Lab,11.138647,79.498356,Intel Core i3-6100,6,2,3.7,8,SSD,128,AMD Radeon Vega,1.2,False,2017,Ubuntu 22.04,x64,2026-06-01
PC-0087,Block D,Programming Lab,11.155947,79.494748,Intel Core i5-8500,8,6,3.0,8,SSD,256,Integrated,None,False,2025,Ubuntu 22.04,x64,2026-06-01
PC-0088,Block D,CAD Lab,11.152693,79.488762,Intel Core i3-6100,6,2,3.7,16,SSD,128,Integrated,1.2,False,2020,Linux Mint 22,x64,2026-06-01
PC-0089,Block C,Language Lab,11.133643,79.499194,Intel Core i5-7400,7,4,3.0,16,SSD,256,AMD Radeon Vega,2.0,True,2020,Ubuntu 22.04,x64,2026-06-01
PC-0090,Admin,AI Lab,11.136741,79.495242,Intel Core i5-8500,8,6,3.0,16,HDD,500,Integrated,1.2,False,2024,Windows 10,x64,2026-06-01
PC-0091,Block A,Research Lab,11.151162,79.482465,Intel Core i5-7400,7,4,3.0,32,SSD,512,NVIDIA GTX 1050,1.2,False,2024,Linux Mint 22,x64,2026-06-01
PC-0092,Block B,CAD Lab,11.145247,79.49638,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,128,Integrated,None,False,2021,Linux Mint 22,x64,2026-06-01
PC-0093,Block D,Network Lab,11.155124,79.487398,AMD Ryzen 3 3200G,3,4,3.6,4,SSD,256,AMD Radeon Vega,1.2,False,2024,Ubuntu 24.04,x64,2026-06-01
PC-0094,Block B,CAD Lab,11.152886,79.481316,AMD Ryzen 3 3200G,3,4,3.6,8,SSD,512,NVIDIA GTX 1050,1.2,False,2020,Linux Mint 22,x64,2026-06-01
PC-0095,Admin,AI Lab,11.139545,79.484189,AMD Ryzen 3 3200G,3,4,3.6,8,SSD,512,NVIDIA GTX 1050,1.2,False,2023,Windows 10,x64,2026-06-01
PC-0096,Admin,Research Lab,11.158961,79.47996,Intel Core i5-7400,7,4,3.0,4,SSD,512,Integrated,None,False,2024,Linux Mint 22,x64,2026-06-01
PC-0097,Block A,Language Lab,11.156128,79.499099,Intel Core i7-9700,9,8,3.0,32,HDD,500,Integrated,None,False,2024,Ubuntu 22.04,x64,2026-06-01
PC-0098,Block C,Network Lab,11.15557,79.49578,AMD Ryzen 3 3200G,3,4,3.6,32,SSD,512,NVIDIA GTX 1050,None,False,2022,Ubuntu 24.04,x64,2026-06-01
PC-0099,Admin,Research Lab,11.148935,79.497628,Intel Core i7-9700,9,8,3.0,16,HDD,500,Integrated,None,False,2018,Windows 11,x64,2026-06-01
PC-0100,Block D,Programming Lab,11.157103,79.47138,AMD Ryzen 5 5600G,5,6,3.9,16,HDD,500,Integrated,None,False,2021,Ubuntu 24.04,x64,2026-06-01
PC-0101,Block C,Network Lab,11.146978,79.493776,Intel Core i7-9700,9,8,3.0,8,SSD,128,Integrated,2.0,True,2019,Ubuntu 22.04,x64,2026-06-01
PC-0102,Block A,Language Lab,11.136966,79.489137,Intel Core i7-9700,9,8,3.0,16,SSD,128,NVIDIA GTX 1050,2.0,True,2021,Windows 11,x64,2026-06-01
PC-0103,Admin,Programming Lab,11.132216,79.498357,Intel Core i7-9700,9,8,3.0,32,SSD,256,AMD Radeon Vega,2.0,True,2021,Windows 11,x64,2026-06-01
PC-0104,Admin,CAD Lab,11.159981,79.4956,AMD Ryzen 5 5600G,5,6,3.9,16,SSD,256,Integrated,1.2,False,2020,Windows 11,x64,2026-06-01
PC-0105,Block D,Language Lab,11.159338,79.489747,Intel Core i5-8500,8,6,3.0,32,SSD,256,NVIDIA GTX 1050,1.2,False,2017,Windows 10,x64,2026-06-01
PC-0106,Library,Research Lab,11.154985,79.497088,AMD Ryzen 5 5600G,5,6,3.9,16,HDD,500,Integrated,2.0,True,2022,Ubuntu 22.04,x64,2026-06-01
PC-0107,Block B,Research Lab,11.148847,79.497102,Intel Core i5-7400,7,4,3.0,32,SSD,256,AMD Radeon Vega,2.0,True,2017,Windows 11,x64,2026-06-01
PC-0108,Block C,CAD Lab,11.157289,79.479802,Intel Core i3-6100,6,2,3.7,32,SSD,256,NVIDIA GTX 1050,None,False,2019,Windows 10,x64,2026-06-01
PC-0109,Block B,AI Lab,11.154914,79.477709,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,256,NVIDIA GTX 1050,2.0,True,2021,Ubuntu 24.04,x64,2026-06-01
PC-0110,Admin,Network Lab,11.155804,79.491727,Intel Core i3-6100,6,2,3.7,4,SSD,512,NVIDIA GTX 1050,None,False,2025,Windows 11,x64,2026-06-01
PC-0111,Block C,Programming Lab,11.143644,79.490185,Intel Core i7-9700,9,8,3.0,8,HDD,500,AMD Radeon Vega,2.0,True,2021,Windows 10,x64,2026-06-01
PC-0112,Library,CAD Lab,11.144144,79.488586,AMD Ryzen 5 5600G,5,6,3.9,4,SSD,256,AMD Radeon Vega,2.0,True,2022,Windows 11,x64,2026-06-01
PC-0113,Library,AI Lab,11.149477,79.4735,AMD Ryzen 5 5600G,5,6,3.9,32,HDD,500,Integrated,1.2,False,2017,Ubuntu 24.04,x64,2026-06-01
PC-0114,Block C,CAD Lab,11.141659,79.48113,Intel Core i3-6100,6,2,3.7,8,HDD,500,AMD Radeon Vega,2.0,True,2025,Windows 11,x64,2026-06-01
PC-0115,Block D,Language Lab,11.155011,79.48847,AMD Ryzen 5 5600G,5,6,3.9,16,SSD,128,NVIDIA GTX 1050,2.0,True,2017,Windows 10,x64,2026-06-01
PC-0116,Admin,Network Lab,11.132981,79.49057,Intel Core i5-7400,7,4,3.0,16,SSD,512,AMD Radeon Vega,None,False,2022,Ubuntu 24.04,x64,2026-06-01
PC-0117,Block A,CAD Lab,11.149883,79.489251,Intel Core i5-8500,8,6,3.0,4,SSD,128,AMD Radeon Vega,1.2,False,2017,Windows 10,x64,2026-06-01
PC-0118,Block A,Network Lab,11.154895,79.486626,Intel Core i5-7400,7,4,3.0,16,SSD,128,AMD Radeon Vega,None,False,2020,Windows 10,x64,2026-06-01
PC-0119,Block B,Network Lab,11.146206,79.493955,Intel Core i5-7400,7,4,3.0,8,HDD,500,Integrated,None,False,2017,Windows 11,x64,2026-06-01
PC-0120,Block B,Programming Lab,11.135227,79.471572,Intel Core i5-8500,8,6,3.0,16,SSD,128,AMD Radeon Vega,1.2,False,2023,Windows 10,x64,2026-06-01
PC-0121,Library,Programming Lab,11.145397,79.473272,AMD Ryzen 5 5600G,5,6,3.9,16,HDD,500,AMD Radeon Vega,1.2,False,2020,Ubuntu 24.04,x64,2026-06-01
PC-0122,Library,Programming Lab,11.131825,79.484369,AMD Ryzen 5 5600G,5,6,3.9,16,SSD,256,NVIDIA GTX 1050,2.0,True,2023,Windows 10,x64,2026-06-01
PC-0123,Admin,Programming Lab,11.148249,79.47197,Intel Core i7-9700,9,8,3.0,4,SSD,512,NVIDIA GTX 1050,None,False,2025,Ubuntu 24.04,x64,2026-06-01
PC-0124,Admin,Network Lab,11.142906,79.493793,Intel Core i7-9700,9,8,3.0,16,SSD,256,Integrated,2.0,True,2025,Linux Mint 22,x64,2026-06-01
PC-0125,Admin,AI Lab,11.154823,79.481962,Intel Core i7-9700,9,8,3.0,8,SSD,512,AMD Radeon Vega,1.2,False,2018,Ubuntu 24.04,x64,2026-06-01
PC-0126,Block C,CAD Lab,11.132014,79.494953,Intel Core i5-8500,8,6,3.0,8,SSD,256,Integrated,None,False,2023,Ubuntu 22.04,x64,2026-06-01
PC-0127,Block A,Research Lab,11.147594,79.486848,AMD Ryzen 5 5600G,5,6,3.9,8,SSD,256,NVIDIA GTX 1050,2.0,True,2018,Windows 10,x64,2026-06-01
PC-0128,Block D,Network Lab,11.148012,79.480549,AMD Ryzen 5 5600G,5,6,3.9,32,SSD,512,AMD Radeon Vega,None,False,2025,Ubuntu 24.04,x64,2026-06-01
PC-0129,Block B,AI Lab,11.155361,79.481027,AMD Ryzen 5 5600G,5,6,3.9,8,SSD,512,NVIDIA GTX 1050,None,False,2020,Ubuntu 24.04,x64,2026-06-01
PC-0130,Block D,Language Lab,11.130869,79.478198,AMD Ryzen 3 3200G,3,4,3.6,16,HDD,500,NVIDIA GTX 1050,2.0,True,2022,Ubuntu 24.04,x64,2026-06-01
PC-0131,Block C,Programming Lab,11.132088,79.492229,Intel Core i5-7400,7,4,3.0,16,SSD,128,Integrated,2.0,True,2018,Ubuntu 22.04,x64,2026-06-01
PC-0132,Admin,Language Lab,11.134722,79.479349,Intel Core i5-7400,7,4,3.0,16,SSD,512,NVIDIA GTX 1050,1.2,False,2018,Ubuntu 24.04,x64,2026-06-01
PC-0133,Block A,AI Lab,11.143293,79.48272,Intel Core i5-7400,7,4,3.0,32,HDD,500,AMD Radeon Vega,None,False,2024,Ubuntu 24.04,x64,2026-06-01
PC-0134,Block D,Network Lab,11.138497,79.490355,Intel Core i5-7400,7,4,3.0,8,HDD,500,NVIDIA GTX 1050,1.2,False,2025,Windows 10,x64,2026-06-01
PC-0135,Admin,Network Lab,11.130231,79.479043,Intel Core i3-6100,6,2,3.7,16,SSD,128,Integrated,2.0,True,2019,Windows 10,x64,2026-06-01
PC-0136,Block C,Network Lab,11.135271,79.481406,Intel Core i5-8500,8,6,3.0,4,HDD,500,AMD Radeon Vega,1.2,False,2020,Ubuntu 22.04,x64,2026-06-01
PC-0137,Library,Language Lab,11.143087,79.483793,AMD Ryzen 5 5600G,5,6,3.9,4,SSD,256,Integrated,1.2,False,2022,Windows 10,x64,2026-06-01
PC-0138,Library,CAD Lab,11.138685,79.482151,AMD Ryzen 3 3200G,3,4,3.6,32,SSD,512,NVIDIA GTX 1050,2.0,True,2019,Ubuntu 22.04,x64,2026-06-01
PC-0139,Library,CAD Lab,11.137299,79.487666,AMD Ryzen 5 5600G,5,6,3.9,4,SSD,256,AMD Radeon Vega,1.2,False,2018,Windows 10,x64,2026-06-01
PC-0140,Block D,Network Lab,11.132291,79.488997,AMD Ryzen 5 5600G,5,6,3.9,8,SSD,256,AMD Radeon Vega,1.2,False,2025,Windows 11,x64,2026-06-01
PC-0141,Block B,Network Lab,11.137679,79.475205,Intel Core i5-8500,8,6,3.0,8,SSD,128,Integrated,None,False,2018,Windows 11,x64,2026-06-01
PC-0142,Block B,Research Lab,11.150434,79.496461,Intel Core i7-9700,9,8,3.0,16,SSD,512,AMD Radeon Vega,2.0,True,2022,Ubuntu 22.04,x64,2026-06-01
PC-0143,Admin,Network Lab,11.148942,79.49389,Intel Core i5-7400,7,4,3.0,4,SSD,512,AMD Radeon Vega,1.2,False,2017,Ubuntu 22.04,x64,2026-06-01
PC-0144,Block C,Language Lab,11.131707,79.494951,Intel Core i3-6100,6,2,3.7,16,SSD,256,Integrated,1.2,False,2018,Windows 10,x64,2026-06-01
PC-0145,Library,Language Lab,11.158627,79.492168,AMD Ryzen 3 3200G,3,4,3.6,16,SSD,512,Integrated,2.0,True,2024,Linux Mint 22,x64,2026-06-01
PC-0146,Library,Research Lab,11.134526,79.471856,Intel Core i5-7400,7,4,3.0,16,SSD,256,Integrated,1.2,False,2022,Linux Mint 22,x64,2026-06-01
PC-0147,Admin,Programming Lab,11.15973,79.485722,AMD Ryzen 3 3200G,3,4,3.6,4,SSD,128,AMD Radeon Vega,None,False,2019,Ubuntu 22.04,x64,2026-06-01
PC-0148,Block C,Network Lab,11.131571,79.488927,Intel Core i5-8500,8,6,3.0,16,SSD,512,NVIDIA GTX 1050,1.2,False,2018,Linux Mint 22,x64,2026-06-01
PC-0149,Block C,Programming Lab,11.156198,79.480001,AMD Ryzen 3 3200G,3,4,3.6,8,SSD,512,AMD Radeon Vega,1.2,False,2019,Linux Mint 22,x64,2026-06-01
PC-0150,Block C,Network Lab,11.139287,79.4813,AMD Ryzen 5 5600G,5,6,3.9,8,SSD,512,NVIDIA GTX 1050,2.0,True,2019,Windows 10,x64,2026-06-01
