software_id,software_name,category,min_ram_gb,min_storage_gb,min_cpu_cores,gpu_required,gpu_min_vram_gb,supported_os,confidence,source,source_url,last_verified
aftereffects,Adobe After Effects,Video,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
audition,Adobe Audition,Audio,4,2,2,False,0,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
gimp,GIMP,Graphics,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
inkscape,Inkscape,Graphics,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
krita,Krita,Graphics,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
obs,OBS Studio,Video,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
davinci,DaVinci Resolve,Video,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
audacity,Audacity,Audio,4,2,2,False,0,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
unity,Unity,GameDev,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
unreal,Unreal Engine,GameDev,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
godot,Godot,GameDev,8,10,2,True,4,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
tensorflow,TensorFlow,AI,8,2,2,False,0,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
pytorch,PyTorch,AI,8,2,2,False,0,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
anaconda,Anaconda,DataScience,4,2,2,False,0,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
jupyter,JupyterLab,DataScience,4,2,2,False,0,Windows;Linux;macOS,medium,vendor_docs,,2026-07-01
