os_id,os_name,os_family,min_ram_gb,recommended_ram_gb,min_storage_gb,min_cpu_cores,min_clock_ghz,tpm_required,secure_boot_required,architecture_support,eol_date,source_url,best_use_case
truenasscale,TrueNAS SCALE,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
proxmox,Proxmox VE,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
esxi,VMware ESXi,Hypervisor,2,4,20,2,1.0,,False,x64,,,General purpose
xcpng,XCP-ng,Hypervisor,2,4,20,2,1.0,,False,x64,,,General purpose
rpios,Raspberry Pi OS,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
chromeosflex,ChromeOS Flex,ChromeOS,2,4,20,2,1.0,,False,x64,,,General purpose
alma9,AlmaLinux 9,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
rocky9,Rocky Linux 9,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
oracle9,Oracle Linux 9,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
rhel9,RHEL 9,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
centosstream10,CentOS Stream 10,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
amazlinux2023,Amazon Linux 2023,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
azurelinux,Azure Linux,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
photon,VMware Photon OS,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
openmandriva,OpenMandriva,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
mageia,Mageia,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
pclinuxos,PCLinuxOS,Linux,2,4,20,2,1.0,,False,x64,,,General purpose
debian13,Debian 13,Linux,2,4,20,2,1.0,,False,x64,,https://www.debian.org/releases/trixie/,General purpose
