ram_fit,storage_fit,cpu_cores_fit,cpu_clock_fit,tpm_fit,secure_boot_fit,compatible,asset_id,os_id
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,antix
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,puppy
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,tinycore
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,bodhi
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,peppermint
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,q4os
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,deepin
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,zorin17
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,elementary8
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,popos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,kdeneon
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,kali
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,parrot
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,blackarch
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,tails
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,whonix
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,freebsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,openbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,netbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,ghostbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,truenascore
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,truenasscale
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,proxmox
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,esxi
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,xcpng
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,rpios
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,chromeosflex
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,alma9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,rocky9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,oracle9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,rhel9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,centosstream10
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,amazlinux2023
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,azurelinux
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,photon
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,openmandriva
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,mageia
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,pclinuxos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0001,debian13
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,win10
1.0,2.0,1.0,2.0,0.15,0.15,0,PC-0002,win11
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,ubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,ubuntu2204
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,kubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,xubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,lubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,ubuntu-mate2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,ubuntu-budgie2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,ubuntu-studio2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,edubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,ubuntu-unity2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,linuxmint22
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,debian12
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,fedora42
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,opensuse-leap
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,opensuse-tw
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,arch
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,manjaro
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,endeavouros
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,garuda
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,cachyos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,gentoo
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,void
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,nixos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,alpine
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,solus
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,mx
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,antix
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,puppy
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,tinycore
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,bodhi
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,peppermint
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,q4os
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,deepin
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,zorin17
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,elementary8
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,popos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,kdeneon
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,kali
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,parrot
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,blackarch
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,tails
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,whonix
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,freebsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,openbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,netbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,ghostbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,truenascore
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,truenasscale
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,proxmox
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,esxi
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,xcpng
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,rpios
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,chromeosflex
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,alma9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,rocky9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,oracle9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,rhel9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,centosstream10
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,amazlinux2023
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,azurelinux
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,photon
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,openmandriva
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,mageia
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,pclinuxos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0002,debian13
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,win10
1.0,2.0,2.0,2.0,0.15,0.15,0,PC-0003,win11
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,ubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,ubuntu2204
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,kubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,xubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,lubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,ubuntu-mate2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,ubuntu-budgie2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,ubuntu-studio2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,edubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,ubuntu-unity2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,linuxmint22
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,debian12
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,fedora42
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,opensuse-leap
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,opensuse-tw
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,arch
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,manjaro
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,endeavouros
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,garuda
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,cachyos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,gentoo
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,void
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,nixos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,alpine
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,solus
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,mx
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,antix
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,puppy
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,tinycore
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,bodhi
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,peppermint
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,q4os
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,deepin
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,zorin17
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,elementary8
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,popos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,kdeneon
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,kali
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,parrot
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,blackarch
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,tails
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,whonix
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,freebsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,openbsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,netbsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,ghostbsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,truenascore
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,truenasscale
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,proxmox
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,esxi
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,xcpng
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,rpios
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,chromeosflex
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,alma9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,rocky9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,oracle9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,rhel9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,centosstream10
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,amazlinux2023
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,azurelinux
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,photon
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,openmandriva
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,mageia
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,pclinuxos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0003,debian13
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,win10
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,win11
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,ubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,ubuntu2204
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,kubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,xubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,lubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,ubuntu-mate2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,ubuntu-budgie2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,ubuntu-studio2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,edubuntu2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,ubuntu-unity2404
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,linuxmint22
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,debian12
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,fedora42
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,opensuse-leap
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,opensuse-tw
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,arch
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,manjaro
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,endeavouros
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,garuda
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,cachyos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,gentoo
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,void
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,nixos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,alpine
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,solus
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,mx
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,antix
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,puppy
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,tinycore
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,bodhi
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,peppermint
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,q4os
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,deepin
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,zorin17
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,elementary8
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,popos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,kdeneon
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,kali
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,parrot
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,blackarch
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,tails
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,whonix
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,freebsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,openbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,netbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,ghostbsd
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,truenascore
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,truenasscale
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,proxmox
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,esxi
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,xcpng
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,rpios
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,chromeosflex
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,alma9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,rocky9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,oracle9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,rhel9
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,centosstream10
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,amazlinux2023
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,azurelinux
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,photon
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,openmandriva
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,mageia
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,pclinuxos
2.0,2.0,1.0,2.0,1.0,1.0,1,PC-0004,debian13
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,win10
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,win11
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,ubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,ubuntu2204
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,kubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,xubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,lubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,ubuntu-mate2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,ubuntu-budgie2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,ubuntu-studio2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,edubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,ubuntu-unity2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,linuxmint22
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,debian12
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,fedora42
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,opensuse-leap
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,opensuse-tw
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,arch
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,manjaro
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,endeavouros
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,garuda
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,cachyos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,gentoo
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,void
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,nixos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,alpine
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,solus
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,mx
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,antix
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,puppy
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,tinycore
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,bodhi
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,peppermint
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,q4os
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,deepin
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,zorin17
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,elementary8
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,popos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,kdeneon
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,kali
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,parrot
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,blackarch
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,tails
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,whonix
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,freebsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,openbsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,netbsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,ghostbsd
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,truenascore
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,truenasscale
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,proxmox
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,esxi
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,xcpng
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,rpios
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,chromeosflex
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,alma9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,rocky9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,oracle9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,rhel9
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,centosstream10
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,amazlinux2023
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,azurelinux
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,photon
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,openmandriva
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,mageia
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,pclinuxos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0005,debian13
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,win10
2.0,2.0,2.0,2.0,0.4,0.15,0,PC-0006,win11
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,ubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,ubuntu2204
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,kubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,xubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,lubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,ubuntu-mate2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,ubuntu-budgie2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,ubuntu-studio2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,edubuntu2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,ubuntu-unity2404
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,linuxmint22
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,debian12
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,fedora42
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,opensuse-leap
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,opensuse-tw
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,arch
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,manjaro
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,endeavouros
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,garuda
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,cachyos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,gentoo
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,void
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,nixos
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,alpine
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,solus
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,mx
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,antix
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,puppy
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,tinycore
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,bodhi
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,peppermint
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,q4os
2.0,2.0,2.0,2.0,1.0,1.0,1,PC-0006,deepin
